,GNPSLinkout_Network,LibraryID,MQScore,RTConsensus,RTMean,RTStdErr,SpectrumID,SumPeakIntensity,UniqueFileSourcesCount,componentindex,number_of_spectra,parent_mass,precursor_charge,precursor_mass,sum(precursor_intensity),V1,V2,V3,sum.precursor_intensity.,Chemical_family,Name,Notes,CF_class,CF_Dparent,CF_NrNodes,CF_subclass,CF_superclass,Compound_Name,id,stat.x,index.x,p.value_gut,groups.x,stat.y,index.y,p.value_diet,groups.y,stat.x,index.x,p.value_kt,groups.x,stat.y,index.y,p.value_host,groups.y,V1,V2,V3
6353_249.123_2.703,Connected,N/A,N/A,2.7027,2.7027,0,N/A,0.007105064,17,5433,17,249.1227,1,249.1227,0.007105064,6353,249.123,2.703,0.007105064,Hormones,Cyclic 3-Hydroxymelatonin,"Cyclic 3-hydroxymelatonin, predicted from NAP",no_matches,no_matches,2,no_matches,no_matches,NA,6353_249.123_2.703,0.528810586,3,1,s.Simplegut,0.819958881,1,0.00298,s.Carnivores,0.687451066,2,0.64757,s.Carnivora,0.847219382,254,1,"s.Israeli_Wolf,s.Tiger",6353,249.123,2.703
13019_190.071_1.503,Connected,Spectral_Match_to_N-Acetyl-L-glutamic_acid_from_NIST14,0.907098,1.5027,1.5027,0,CCMSLIB00003138157,0.0184381,53,6315,53,190.0705,1,190.0705,0.0184381,13019,190.071,1.503,0.0184381,N-acyl AA,Acetyl-Glu 1 (m/z 190.071),NA,NA,NA,NA,NA,NA,NA,13019_190.071_1.503,0.955133866,3,0.00294,s.Simplegut,0.882955682,5,0.00298,"s.Carnivores,s.Omnivores",0.955133866,12,0.00319,"s.Carnivora,s.Primates",0.570004897,229,1,"s.Gorilla,s.Mandrill",13019,190.071,1.503
17894_190.07_1.387,Connected,Spectral_Match_to_N-Acetyl-L-glutamic_acid_from_NIST14,0.974773,1.3867,1.3867,0,CCMSLIB00003138157,0.020580799,46,6315,46,190.0705,1,190.0705,0.020580799,17894,190.07,1.387,0.020580799,N-acyl AA,Acetyl-Glu 2 (190.071),NA,NA,NA,NA,NA,NA,NA,17894_190.07_1.387,0.898341552,3,0.00294,s.Simplegut,0.829590814,5,0.00298,"s.Carnivores,s.Omnivores",0.898341552,12,0.00319,"s.Carnivora,s.Primates",0.587619311,229,1,"s.Gorilla,s.Mandrill",17894,190.07,1.387
7148_236.127_4.392,Connected,N/A,N/A,4.3922,4.3922,0,N/A,0.005460053,18,179,18,236.1272,1,236.1272,0.005460053,7148,236.127,4.392,0.005460053,N-acyl AA,Butyryl-Phe,Butyryl-Phe. See Fig. S6.,no_matches,no_matches,87,no_matches,no_matches,NA,7148_236.127_4.392,0.544057475,3,1,s.Simplegut,0.915542415,1,0.00298,s.Carnivores,0.741495044,2,0.25839,s.Carnivora,0.808972313,278,1,"s.Leopard,s.Tiger",7148,236.127,4.392
7316_188.128_3.7,Connected,N/A,N/A,3.7005,3.7005,0,N/A,0.005314251,18,179,18,188.1275,1,188.1275,0.005314251,7316,188.128,3.7,0.005314251,N-acyl AA,Butyryl-Val,Butyryl-Val. See Fig. S6.,no_matches,no_matches,87,no_matches,no_matches,NA,7316_188.128_3.7,0.561951487,3,1,s.Simplegut,0.939185029,1,0.00298,s.Carnivores,0.743343998,2,0.11484,s.Carnivora,0.739678429,248,1,"s.Israeli_Wolf,s.Leopard",7316,188.128,3.7
8160_447.272_4.298,Connected,N/A,N/A,4.2981,4.2981,0,N/A,0.022818765,24,568,24,447.272,1,447.272,0.022818765,8160,447.272,4.298,0.022818765,Peptides,Cyc. Peptide 1 (m/z 447.272),Cyclic peptides based on NAP/MolNetEnhancer,no_matches,no_matches,34,no_matches,no_matches,NA,8160_447.272_4.298,0.648885685,3,1,s.Simplegut,0.507568325,6,1,"s.Herbivores,s.Omnivores",0.852525325,5,0.01914,s.Primates,0.941972447,152,0.00319,"s.Chimp,s.Gorilla",8160,447.272,4.298
10292_463.267_4.365,Connected,N/A,N/A,4.365,4.365,0,N/A,0.018000254,27,568,27,463.2669,1,463.2669,0.018000254,10292,463.267,4.365,0.018000254,Peptides,Cyc. Peptide 2 (m/z 463.267),Cyclic peptides based on NAP/MolNetEnhancer,no_matches,no_matches,34,no_matches,no_matches,NA,10292_463.267_4.365,0.688247202,3,1,s.Simplegut,0.540499365,6,1,"s.Herbivores,s.Omnivores",0.845326619,5,0.02233,s.Primates,0.90660333,152,0.24244,"s.Chimp,s.Gorilla",10292,463.267,4.365
10310_481.277_4.297,Connected,N/A,N/A,4.2972,4.2972,0,N/A,0.02805664,24,568,24,481.2775,1,481.2775,0.02805664,10310,481.277,4.297,0.02805664,Peptides,Cyc. Peptide 3 (m/z 481.277),Cyclic peptides based on NAP/MolNetEnhancer,no_matches,no_matches,34,no_matches,no_matches,NA,10310_481.277_4.297,0.648885685,3,1,s.Simplegut,0.522232968,6,1,"s.Herbivores,s.Omnivores",0.874412308,5,0.01276,s.Primates,0.854654096,229,1,"s.Gorilla,s.Mandrill",10310,481.277,4.297
3685_481.278_4.371,Connected,N/A,N/A,4.3713,4.3713,0,N/A,0.153054392,26,568,26,481.2775,1,481.2775,0.153054392,3685,481.278,4.371,0.153054392,Peptides,Cyc. Peptide 4 (m/z 481.278),Cyclic peptides based on NAP/MolNetEnhancer,no_matches,no_matches,34,no_matches,no_matches,NA,3685_481.278_4.371,0.675381634,3,1,s.Simplegut,0.532144361,6,1,"s.Herbivores,s.Omnivores",0.912386625,5,0.00319,s.Primates,0.92537901,152,0.00319,"s.Chimp,s.Gorilla",3685,481.278,4.371
10281_498.304_4.368,Connected,N/A,N/A,4.3683,4.3683,0,N/A,0.023210257,23,568,23,498.3042,1,498.3042,0.023210257,10281,498.304,4.368,0.023210257,Peptides,Cyc. Peptide 5 (m/z 498.304),Cyclic peptides based on NAP/MolNetEnhancer,no_matches,no_matches,34,no_matches,no_matches,NA,10281_498.304_4.368,0.635223403,3,1,s.Simplegut,0.511237358,6,1,"s.Herbivores,s.Omnivores",0.875595036,5,0.00957,s.Primates,0.932723198,152,0.00319,"s.Chimp,s.Gorilla",10281,498.304,4.368
