ATTRIBUTE_SampleType	GNPSGROUP:Bear	GNPSGROUP:Blank	GNPSGROUP:Capuchin	GNPSGROUP:Carnivore	GNPSGROUP:CarnivorousCat	GNPSGROUP:Chimp	GNPSGROUP:Coati	GNPSGROUP:Donkey	GNPSGROUP:Elephant	GNPSGROUP:Feces	GNPSGROUP:Food	GNPSGROUP:Gibbon	GNPSGROUP:Goat	GNPSGROUP:Gorilla	GNPSGROUP:Herbivore	GNPSGROUP:Lemur	GNPSGROUP:Mandrill	GNPSGROUP:Meat	GNPSGROUP:Omnivore	GNPSGROUP:Plants	GNPSGROUP:QC	GNPSGROUP:Rhino	GNPSGROUP:Sheep	GNPSGROUP:Wolf	GNPSGROUP:Zebra	LibraryID	MQScore	RTConsensus	SumPeakIntensity	UniqueFileSourcesCount	cluster_index	componentindex	number_of_spectra	parent_mass	precursor_mass
"Feces,Blank,Food"	1.94E-05	0.000330932	0	1.63E-05	1.61E-05	6.86E-05	2.27E-05	0	7.04E-05	5.19E-05	3.38E-06	4.51E-05	0	1.13E-05	6.42E-05	6.76E-05	5.44E-05	1.52E-05	4.44E-05	0	9.54E-05	7.17E-05	2.11E-05	1.74E-05	9.64E-05	N/A	N/A	7.0579	0.006952786	68	28	-1	68	995.6747	498.3374
"Feces,Blank,Food"	0.000427645	0.001127081	0.000194818	8.05E-05	8.88E-05	0.000253355	0.000269281	0.000185701	0.000189853	0.000213479	5.44E-05	0.000287988	0.000110115	0.000128446	0.000212485	0.000227207	0.000157502	5.13E-05	0.000268033	5.56E-05	0.000115311	0.000202241	0.000108774	3.48E-05	0.00030412	N/A	N/A	0.6812	0.028975752	137	29	1459	137	129.0656	129.0656
"Feces,Blank,Food"	0.000202476	0.000540887	0	1.88E-05	1.86E-05	0.000130442	5.35E-05	0.000268476	5.38E-05	6.33E-05	7.70E-06	4.48E-05	5.78E-05	4.11E-05	4.76E-05	4.22E-05	5.22E-05	1.56E-05	9.82E-05	5.32E-06	7.37E-05	5.90E-05	8.62E-05	1.97E-05	1.13E-05	N/A	N/A	3.3008	0.009192166	86	30	437	86	520.331	520.331
"Feces,Blank"	0	0.001093836	0	0	0	1.78E-05	0	0	0	3.39E-06	0	0	0	0	0	8.71E-05	0	0	9.27E-06	0	0	0	0	0	0	Contaminant_vial_septum_ThermoFisher_C5000-44B	0.832623	8.59	0.005092242	4	31	171	4	702.2102	702.2102
"Feces,Blank"	0	0.000330254	0	2.86E-06	1.95E-06	3.65E-05	0	0	1.52E-05	1.46E-05	0	0.000107391	0	2.26E-05	5.14E-06	0	6.67E-05	0	3.21E-05	0	0	0	0	7.83E-06	0	N/A	N/A	3.7211	0.002945717	20	32	-1	20	257.1352	257.1352
"Feces,Blank"	0.000132062	0.001640453	2.42E-05	3.96E-05	4.05E-05	0.000201896	0.00012129	0.000286829	0.0003434	0.000187299	0	0.000177053	5.66E-05	8.98E-05	0.000248955	0.000124606	0.000174571	0	0.000157725	0	0.000174531	0.000313223	8.57E-05	3.41E-05	0.000269863	N/A	N/A	6.9915	0.026587695	105	33	-1	105	343.13	343.13
"Feces,Blank"	6.88E-05	0.000273079	2.38E-05	2.93E-05	2.99E-05	0.000113292	6.82E-05	0.000148766	0.000180379	0.000107974	0	9.65E-05	3.63E-05	6.65E-05	0.000141599	7.77E-05	0.0001074	0	9.00E-05	0	0.000116188	0.000179272	6.99E-05	2.59E-05	0.000148311	N/A	N/A	4.8381	0.012412616	105	34	-1	105	198.1844	198.1844
"Feces,Blank"	0.000122263	0.001551169	4.52E-05	5.17E-05	5.08E-05	0.000182128	0.000121853	0.000304326	0.000304354	0.000184709	0	0.000212836	0.00013733	9.62E-05	0.000240368	0.000159118	0.000183163	0	0.000157826	0	0.000174146	0.000321834	0.000128086	5.65E-05	0.000233777	N/A	N/A	8.4193	0.025931506	106	35	437	106	438.377	438.377
"Feces,Blank"	0.000125235	0.000336444	3.71E-05	6.49E-05	6.53E-05	0.000271633	0.000111986	0.000234665	0.00033765	0.000199328	0	0.000254168	4.44E-05	0.000142037	0.000223168	0.000153893	0.000247906	0	0.000196514	0	0.000420278	0.00031215	7.53E-05	6.25E-05	0.000180711	N/A	N/A	3.8155	0.022188002	105	36	-1	105	299.1089	299.1089
"Feces,Blank,Food"	0.000250382	0.000514298	1.97E-05	1.83E-05	1.80E-05	0.000336452	8.76E-05	0.000356029	0.000136031	0.000128974	2.20E-05	0.000112572	7.25E-05	0.000148341	0.000103812	6.73E-05	0.000183675	5.03E-05	0.000202426	1.50E-05	9.74E-05	0.000105508	8.28E-05	2.00E-05	6.24E-05	N/A	N/A	3.013	0.016433953	130	37	437	130	371.227	371.227
